	time	id	sentiment	topic	like	text
3	Mon Nov 29 23:55:26 +0000 2021	1.46547e+18	+	CV	1	@hmwsgx I think we just have to accept a new normal.  We are going to live with Covid variants the rest of our lives.  That means regular new vaccinations as necessary. It will probably slow down quite a bit from global epidemic status. But it seems like it's here to stay.
11	Mon Nov 29 23:54:27 +0000 2021	1.46547e+18	+	PL	1	"Incarceration rates in the NWT are at an all time low. We have capacity for 252 but only 74 inmates. COVID plays a big role in this, hard to tell how much crime has gone down or just enforcement of it. Still a backlog in the courts but also push for alternative measures. #NWTpoli"
13	Mon Nov 29 23:56:06 +0000 2021	1.46547e+18	+	CR	1	@MarloWordyBird Christchurch 100% compliance and zero covid.  Wonder if there's a connection?
14	Mon Nov 29 23:55:38 +0000 2021	1.46547e+18	+	CR	0	@Billius27 Not to worry.  @JustinTrudeau is banning all flights from AFRICA.  Also @fordnation is not easing anything.  It’s time to get vigilant.  booster time for 🇨🇦 👍 ~ @pfizer
23	Mon Nov 29 23:57:55 +0000 2021	1.46547e+18	+	CV	1	@dgurdasani1 Hospital admissions and number in hospital with covid has been falling over the last few weeks so not sure your argument on the NHS being overwhelmed stands right now. Seems the booster programme is working well and there is no need for your hysteria.
27	Mon Nov 29 23:58:48 +0000 2021	1.46547e+18	+	CY	3	"‼️Know the IMPACT of your Donation‼️ Covid 360 supported over 2000 people who have been severely impacted by Covid-19. We need our community to step up so we can continue the work.  This #GivingTuesday, pls support @acsatoronto https://t.co/KlE4uCmpuM https://t.co/GZDCzWpu3M"
30	Mon Nov 29 23:54:29 +0000 2021	1.46547e+18	+	CR	4	"Okay, my mother assures me that Sint Maarten has plenty of places for covid testing and that they do this all the time because the US requires a negative test before flying in.   I'm less nervous . . . . . . . . ."
35	Mon Nov 29 23:55:03 +0000 2021	1.46547e+18	+	CV	0	COVID-19 vaccination drive in UPang together with our students. @ University of Pangasinan https://t.co/hhC8gd7KeK
38	Mon Nov 29 23:58:16 +0000 2021	1.46547e+18	+	CV	3	@chipfranklin Only problem is that the stupid people who would benefit most from it are the same stupid people who won't get the COVID vaccine.
44	Mon Nov 29 23:56:32 +0000 2021	1.46547e+18	+	CS	0	"1,103 new Covid-19 cases; ICU utilisation rate falls to 51.2% https://t.co/9mknwCvuTx"
46	Mon Nov 29 23:55:02 +0000 2021	1.46547e+18	+	CY	3	"@KellieADennis74 I hope you feel better. That's a Covid fever, but if you are tested, do both, flu and Covid."
47	Mon Nov 29 23:59:22 +0000 2021	1.46547e+18	+	CP	1	@SonOfTheSun333 @RickofEnfield @trafficconehelp @Finneganporter I’d rather not get it at all. The chickenpox virus causes shingles *decades* after the initial infection. We have no clue about what COVID might do down the road.
51	Mon Nov 29 23:56:36 +0000 2021	1.46547e+18	+	CV	0	@iiiiii_x_iiiiii @safcpete67 @RealSpikeCohen The reason Bulgaria has done so badly with Covid is they have the lowest vaccination rate in the EU. Sweden on the other hand has comparable vaccination rates to other Scandinavian countries.
63	Mon Nov 29 23:54:45 +0000 2021	1.46547e+18	+	CV	28	"Overwhelmingly relieved to have scheduled my appointment for my COVID-19 booster shot. Thank you, science."
70	Mon Nov 29 23:56:27 +0000 2021	1.46547e+18	+	CV	49	"""He basically said to me, ‘I’ve got an immune system, have you never heard of one of those?’” His condition worsened, and he was taken to hospital...two days later he died on the ward.""  😢😢😢  Covid kills. Get vaccinated.  https://t.co/vPmmh8r991"
71	Mon Nov 29 23:59:56 +0000 2021	1.46547e+18	+	CV	1	@ichaydon Got my Pfizer booster last Friday -- now I'm truly thankful!
74	Mon Nov 29 23:54:30 +0000 2021	1.46547e+18	+	CP	10	"Taejin event will be in full swing to kick off the new year!✌🏼💜✨  📍 LOCATION: Kozan Tea House 1053 W Philadelphia St, Ontario, CA 91762  🗓 DATE: January 8th 2022  ⏰ TIME: 1:00 P.M. - 7:00 P.M.  Hosted by @synttth   MASKS WILL BE ENFORCED REGARDLESS OF VACCINATION STATUS. https://t.co/Y2qwCGpc4F"
81	Mon Nov 29 23:54:52 +0000 2021	1.46547e+18	+	CV	0	@DonSather2 @JesseZurawell Took the Vaccine and haven’t got ill since then. Don’t know what’s in the Moderna Vax but that shit works for something good. Got woozy for one day but all in all I’ve felt great since then. Not saying to take it but I’m glad I did. Do you. I’m not one of them Many people. Do you
93	Mon Nov 29 23:58:19 +0000 2021	1.46547e+18	+	CV	0	@MattMenietti I just had sore arms for about 2.5 days. Had the flu shot in one arm and booster in the other on a Friday and was good to go on Monday. I also only had arm soreness with my first 2 shots Pfizer shots.
97	Mon Nov 29 23:58:25 +0000 2021	1.46547e+18	+	CY	9	"@LarrabeeNed @BarryCKing1 @YouTube @AFGE704_EPA @ret_cw3 @ladyred1956 @CookKCEgyptian @WaterDean @ProtectStudents @carlawalworth @HELLANBL @PurpleHipChic @ALOVEFarmer @SDK_Resists You can also buy some home tests for covid at Walgreens (they had a huge display available for Thanksgiving holiday when I got my booster) just to put your mind at ease, too.  The fear is worse than the cold.  Sending virtual hugs!"
101	Mon Nov 29 23:56:55 +0000 2021	1.46547e+18	+	CP	2	"Tw// COVID  Jk I probs have (I took a rapid test that came back negative and I'm vaccinated but I feel like shit) so time to quarantine until next Wednesday probs  I have a movie watchlist, but suggest movies for me to watch"
102	Mon Nov 29 23:56:20 +0000 2021	1.46547e+18	+	CV	23	"@MollyJongFast And this is why my sympathy is gone for the deliberately unvaxxed who get COVID. They have the right to believe natural immunity will be better for them than a vaccine, even if it kills them. I feel bad for their children, but pandemics are nature's Darwinism."
103	Mon Nov 29 23:55:08 +0000 2021	1.46547e+18	+	CP	15	@lapublichealth @CountyofLA Congrats Los Angeles! We are officially more likely to die via robbery then Covid.  Woohoo! Keep wearing your masks everyone!
104	Mon Nov 29 23:59:49 +0000 2021	1.46547e+18	+	CS	149	"I gave up caring a while ago.  Oh ya, update on my mom and her Covid. She got released from the hospital over the weekend and is doing much better. https://t.co/dVcnIFtdC0"
117	Mon Nov 29 23:59:00 +0000 2021	1.46547e+18	+	CR	2	"“On Thursday, I'll be putting forward a detailed strategy outlining how we're gonna fight Covid this winter. Not with shutdowns or lockdowns, but with more widespread vaccinations, boosters, testing, and more."" https://t.co/sDD8gZLsUN"
121	Mon Nov 29 23:58:55 +0000 2021	1.46547e+18	+	CP	0	"Especially if you aren't taking care of your overall health. Don't just get the vaccine and expect to be in the clear. Be mindful.  Same goes for masks. It's just one of the many precautions you need to take to stay safe, and not the ultimate defense against covid."
